PRCP,TMAX,TMIN,
0.47,51,42,1
0.59,45,36,1
0.42,45,35,1
0.31,45,34,1
0.17,45,32,1
0.44,48,39,1
0.41,50,40,1
0.04,48,35,1
0.12,50,31,1
0.74,43,34,1
0.01,42,32,1
0,41,26,0
0,45,29,0
0,38,26,0
0,34,31,0
0,34,28,0
0,35,29,0
0,33,28,0
0,34,27,0
0,36,29,0
0,48,32,0
0.21,47,44,1
0,47,43,0
0.1,45,34,1
0,46,30,0
0,45,32,0
0,53,33,0
0,53,25,0
0.22,42,34,1
0.03,47,30,1
0.21,35,27,1
0.03,39,30,1
0,43,26,0
0.2,38,26,1
0.14,39,31,1
0,36,26,0
0,43,20,0
0.06,43,27,1
0.56,44,35,1
0,45,32,0
0,39,27,0
0,46,23,0
0,43,26,0
0,47,35,0
0.5,46,39,1
0.35,45,37,1
0.84,52,37,1
0.13,57,46,1
0.01,49,32,1
0,45,30,0
0.74,45,35,1
0.46,49,37,1
0.11,47,38,1
0,47,36,0
0.05,44,36,1
0.98,47,41,1
0.09,49,37,1
0,47,35,0
0,50,32,0
0,46,34,0
0.19,47,32,1
0,50,31,0
0,52,28,0
0,57,31,0
0,47,40,0
0.06,47,41,1
0.16,42,34,1
0.11,42,33,1
0,47,33,0
0,51,31,0
0.08,51,31,1
0.06,60,37,1
0.02,54,35,1
0,52,34,0
0,52,36,0
0,50,33,0
0.01,50,36,1
0.13,48,35,1
0,47,33,0
0.06,44,33,1
2.04,46,37,1
0.03,44,30,1
0,54,31,0
0.4,54,36,1
0.33,50,35,1
0,56,36,0
0,70,38,0
0,64,39,0
0,49,39,0
0,54,38,0
0,53,40,0
0.17,46,37,1
0.34,45,33,1
0.03,47,32,1
0.19,49,31,1
0.08,51,32,1
0.09,44,34,1
0,55,30,0
0.11,59,32,1
0.54,50,39,1
0.18,53,38,1
0,51,38,0
0.03,50,39,1
0.01,59,39,1
0,63,42,0
0.33,65,47,1
0,62,43,0
0.37,54,44,1
0,58,41,0
0,61,37,0
0,66,39,0
0.09,55,44,1
0.24,57,43,1
0.02,55,42,1
0.7,46,40,1
0.02,49,34,1
0,50,32,0
0,53,31,0
0.05,45,38,1
0,54,33,0
0.16,56,35,1
0.01,58,38,1
0.08,57,35,1
0.59,53,42,1
0,57,42,0
0.56,55,45,1
0.27,58,42,1
0,59,40,0
0.02,54,42,1
0,52,41,0
0.26,57,43,1
0,63,44,0
0.39,56,42,1
0.14,55,43,1
0.03,58,43,1
0,64,43,0
0.29,60,47,1
0,62,43,0
0.01,60,45,1
0.1,60,40,1
0,73,44,0
0,62,47,0
0,65,48,0
0,66,50,0
0,80,51,0
0,73,51,0
0,69,48,0
0.83,60,50,1
0.88,53,48,1
0.3,58,48,1
0,69,44,0
0,77,46,0
0,71,46,0
0,76,49,0
0.01,67,52,1
0,70,49,0
0,75,48,0
0,82,53,0
0,87,59,0
0,87,60,0
0,81,57,0
0,76,55,0
0.92,60,53,1
0.18,68,50,1
0.11,68,51,1
0,72,50,0
0,71,50,0
0.09,60,52,1
0.01,66,51,1
0,71,50,0
0,68,52,0
0.76,60,52,1
0.01,63,50,1
0,62,49,0
0,70,47,0
0,64,50,0
0,64,48,0
0,74,50,0
0,79,52,0
0,82,57,0
0,83,56,0
0,74,53,0
0,69,45,0
0,70,44,0
0,77,47,0
0.24,66,49,1
0.27,67,50,1
0.44,71,51,1
0.09,66,51,1
0,71,48,0
0,78,51,0
0,73,55,0
0,71,54,0
0,72,50,0
0,76,50,0
0,77,51,0
0,82,51,0
0,80,55,0
0,82,55,0
0.05,61,54,1
0.09,64,55,1
0,67,54,0
0,74,55,0
0,71,53,0
0.01,71,53,1
0,72,49,0
0,79,48,0
0.34,80,52,1
0,67,51,0
0,71,53,0
0,74,51,0
0,80,57,0
0,88,57,0
0,75,54,0
0,68,55,0
0.01,68,55,1
0,64,50,0
0.36,63,49,1
0,70,51,0
0,70,48,0
0,75,51,0
0,71,55,0
0,69,54,0
0,64,53,0
0,74,56,0
0.06,65,53,1
0,68,49,0
0.41,68,53,1
0.05,70,54,1
0.07,74,55,1
0,73,55,0
0,68,52,0
0.01,64,52,1
0.11,65,55,1
0.01,70,54,1
0.11,69,50,1
0.34,62,53,1
0,72,55,0
0.01,72,52,1
0.24,61,53,1
0,80,55,0
0.05,75,57,1
0.03,70,54,1
0,73,51,0
0,74,50,0
0.08,69,52,1
0.05,70,51,1
0,68,50,0
0,70,45,0
0,70,45,0
0,73,50,0
0,78,56,0
0,81,57,0
0,81,55,0
0,76,54,0
0,75,52,0
0,76,52,0
0.08,67,50,1
0.47,64,49,1
0,63,45,0
0,68,45,0
0,70,41,0
0,70,47,0
0,69,52,0
0.34,61,49,1
0.36,51,43,1
0.07,54,40,1
0,58,38,0
0,59,37,0
1.51,49,44,1
0.06,69,44,1
0.83,59,42,1
0,57,39,0
