p (mbar),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),T (degC)
996.53,93.1,3.23,3,0.22,1.88,3.02,1309.85,0.59,0.88,185,-8.43
996.97,93.3,3.1,2.89,0.21,1.81,2.9,1313.01,0.1,0.63,115.3,-8.94
997.46,92.2,2.94,2.71,0.23,1.69,2.71,1317.19,0.4,0.88,157,-9.63
998.14,91.9,3.08,2.83,0.25,1.76,2.83,1315.09,1.48,2.75,14,-9.04
999.33,92.7,3.32,3.08,0.24,1.92,3.08,1311.66,0.53,0.88,242.5,-8.06
1000.27,91.6,3.6,3.3,0.3,2.05,3.29,1307.76,1.45,3,292.6,-7.04
1000.5,89.8,3.56,3.2,0.36,1.99,3.2,1308.69,1.28,1.88,198.9,-7.16
999.97,87.7,3.97,3.48,0.49,2.17,3.48,1301,0.91,1.63,180.1,-5.76
999.88,90.4,3.99,3.61,0.38,2.25,3.61,1300.51,1.17,1.88,134.9,-5.69
1000.17,89.7,4.12,3.69,0.42,2.3,3.69,1298.87,1.03,1.75,140.8,-5.29
1000.07,89.1,4.17,3.72,0.45,2.31,3.72,1297.91,0.5,0.88,179.3,-5.12
1000.22,89.3,4.24,3.79,0.45,2.36,3.78,1297.05,0.68,1.13,195.2,-4.9
1000.06,90.5,4.29,3.88,0.41,2.42,3.88,1296.07,0.35,0.75,269.1,-4.76
999.81,91.7,4.37,4,0.36,2.5,4.01,1294.5,0.44,0.88,198.6,-4.51
999.34,94.4,4.39,4.15,0.25,2.58,4.15,1293.47,0.28,1,148.1,-4.44
998.78,94.6,4.43,4.19,0.24,2.61,4.2,1292.15,0.61,1.13,176.3,-4.32
998.12,95.5,4.33,4.13,0.19,2.58,4.14,1292.8,0.8,1.25,222,-4.63
998,96.2,4.39,4.23,0.17,2.64,4.23,1291.66,0.81,2.13,40.88,-4.43
998.17,95.1,4.39,4.18,0.22,2.61,4.19,1291.91,1.11,2.38,190.7,-4.43
998.46,93.3,4.56,4.25,0.31,2.65,4.26,1289.96,1.31,2,169.9,-3.95
998.98,92.3,4.67,4.31,0.36,2.69,4.32,1288.99,1.21,1.63,141.5,-3.62
998.64,88.7,4.97,4.41,0.56,2.75,4.41,1284.58,1.06,1.63,181.4,-2.8
998.75,89,5.07,4.51,0.56,2.81,4.51,1283.45,0.44,1,85.8,-2.54
999.59,89.6,4.98,4.46,0.52,2.78,4.46,1285.63,2.91,4.13,11.99,-2.76
1000.54,91,4.88,4.44,0.44,2.77,4.44,1288.14,1.76,2.5,9.15,-3.03
1001.4,92,4.76,4.38,0.38,2.73,4.37,1290.86,1.99,3.5,17.52,-3.36
1002.23,91.9,4.72,4.34,0.38,2.69,4.33,1292.57,2.48,3.88,14.31,-3.49
1002.52,89.2,4.44,3.96,0.48,2.46,3.95,1297.05,1.81,3,13.5,-4.3
1002.39,90.6,4.14,3.75,0.39,2.33,3.75,1301.31,0.47,0.88,189.4,-5.2
1002.27,92.3,3.83,3.54,0.29,2.2,3.53,1306.26,0.39,1,279.2,-6.23
1002.03,92.6,3.8,3.52,0.28,2.19,3.51,1306.44,0.25,0.63,145.4,-6.33
1001.4,92.4,3.51,3.24,0.27,2.02,3.24,1310.79,0.55,1,65.23,-7.35
1001.17,89.3,3.21,2.87,0.34,1.79,2.87,1316.27,1.32,2.25,229.7,-8.48
1000.92,91.9,2.92,2.68,0.24,1.67,2.68,1322.18,0.93,1.25,207.7,-9.71
1000.51,85.3,3.22,2.74,0.47,1.71,2.74,1315.41,1.28,2.13,172.1,-8.47
999.02,80.7,3.91,3.16,0.75,1.97,3.16,1300.9,1.31,1.88,213.9,-5.96
997.74,64.48,5.41,3.49,1.92,2.18,3.49,1278.5,1.59,2.38,153.9,-1.66
996.73,50.7,5.31,2.69,2.62,1.68,2.7,1278.79,1.7,2.5,221,-1.91
995.76,53.86,4.31,2.32,1.99,1.45,2.33,1290.94,2.63,3.5,248.8,-4.69
995.34,58.04,4.57,2.65,1.92,1.66,2.67,1286.44,1.82,2.5,246.7,-3.9
994.65,66.32,4.65,3.09,1.57,1.93,3.1,1284.27,1.16,3.25,2.64,-3.67
994.06,67.66,4.98,3.37,1.61,2.11,3.39,1279.04,1.03,2,214.8,-2.76
993.13,71,5.28,3.75,1.53,2.35,3.78,1273.9,1.26,2.75,23.71,-1.97
991.98,83.5,5.27,4.4,0.87,2.76,4.43,1272.33,2.63,5.5,238,-2.01
991.26,90.6,5.2,4.71,0.49,2.96,4.75,1272.12,0.87,1.88,94.4,-2.2
990.5,90.6,5.42,4.91,0.51,3.09,4.95,1268.42,0.88,1.88,203.3,-1.64
989.95,91,5.51,5.02,0.5,3.16,5.07,1266.52,1.48,3,231,-1.39
989.92,89.1,5.72,5.1,0.62,3.21,5.15,1264.12,2.93,5,242.6,-0.89
989.87,90,5.52,4.97,0.55,3.13,5.02,1266.33,2.87,5.13,231.4,-1.37
989.38,90.4,5.63,5.09,0.54,3.21,5.15,1264.43,2.58,4.5,229.3,-1.11
988.07,89.4,5.67,5.07,0.6,3.2,5.13,1262.35,3.08,6.5,227.6,-1.02
987.15,87.4,5.72,5,0.72,3.16,5.06,1260.64,2.99,6,211.8,-0.9
986.63,88.8,5.59,4.96,0.63,3.13,5.03,1261.49,1.19,3.25,231.8,-1.22
986.15,91.3,5.47,4.99,0.48,3.16,5.06,1262.18,1.39,2.5,217,-1.51
985.77,92.2,5.44,5.01,0.42,3.17,5.09,1262.04,1.44,2.38,218.1,-1.58
985.43,93.1,5.47,5.09,0.38,3.22,5.17,1261.21,1.37,3.25,200.7,-1.51
985.27,93.5,5.49,5.14,0.36,3.25,5.21,1260.69,1.47,3.13,212.5,-1.44
984.94,93.2,5.45,5.08,0.37,3.21,5.15,1260.86,1.77,4.25,251.1,-1.56
984.99,91.2,5.45,4.97,0.48,3.15,5.05,1260.87,2.53,4.38,264.8,-1.54
985.47,89,5.37,4.78,0.59,3.02,4.85,1262.61,2.74,6.25,258.9,-1.76
985.75,88.2,5.37,4.73,0.63,2.99,4.8,1263,2.62,4.5,256.4,-1.76
986.99,87.6,5.17,4.53,0.64,2.86,4.59,1267.02,1.16,2.13,283.8,-2.26
988.42,91.1,4.85,4.42,0.43,2.79,4.47,1272.89,1.61,4.63,187.7,-3.11
989.76,89.5,4.76,4.26,0.5,2.68,4.31,1275.9,2.69,5.13,6.77,-3.36
